['project', 'URL']
['spring-projects/spring-boot', 'https://github.com/spring-projects/spring-boot.git']
['elastic/elasticsearch', 'https://github.com/elastic/elasticsearch.git']
['spring-projects/spring-framework', 'https://github.com/spring-projects/spring-framework.git']
['google/guava', 'https://github.com/google/guava.git']
['square/retrofit', 'https://github.com/square/retrofit.git']
['apache/dubbo', 'https://github.com/apache/dubbo.git']
['PhilJay/MPAndroidChart', 'https://github.com/PhilJay/MPAndroidChart.git']
['airbnb/lottie-android', 'https://github.com/airbnb/lottie-android.git']
['bumptech/glide', 'https://github.com/bumptech/glide.git']
['NationalSecurityAgency/ghidra', 'https://github.com/NationalSecurityAgency/ghidra.git']
['Blankj/AndroidUtilCode', 'https://github.com/Blankj/AndroidUtilCode.git']
['skylot/jadx', 'https://github.com/skylot/jadx.git']
['zxing/zxing', 'https://github.com/zxing/zxing.git']
['jeecgboot/jeecg-boot', 'https://github.com/jeecgboot/jeecg-boot.git']
['crossoverJie/JCSprout', 'https://github.com/crossoverJie/JCSprout.git']
['alibaba/druid', 'https://github.com/alibaba/druid.git']
['dbeaver/dbeaver', 'https://github.com/dbeaver/dbeaver.git']
['alibaba/fastjson', 'https://github.com/alibaba/fastjson.git']
['greenrobot/EventBus', 'https://github.com/greenrobot/EventBus.git']
['scwang90/SmartRefreshLayout', 'https://github.com/scwang90/SmartRefreshLayout.git']
['SeleniumHQ/selenium', 'https://github.com/SeleniumHQ/selenium.git']
['wuyouzhuguli/SpringAll', 'https://github.com/wuyouzhuguli/SpringAll.git']
['alibaba/easyexcel', 'https://github.com/alibaba/easyexcel.git']
['alibaba/canal', 'https://github.com/alibaba/canal.git']
['signalapp/Signal-Android', 'https://github.com/signalapp/Signal-Android.git']
['seata/seata', 'https://github.com/seata/seata.git']
['alibaba/nacos', 'https://github.com/alibaba/nacos.git']
['halo-dev/halo', 'https://github.com/halo-dev/halo.git']
['apache/kafka', 'https://github.com/apache/kafka.git']
['ReactiveX/RxAndroid', 'https://github.com/ReactiveX/RxAndroid.git']
['DrKLO/Telegram', 'https://github.com/DrKLO/Telegram.git']
['google/ExoPlayer', 'https://github.com/google/ExoPlayer.git']
['apache/skywalking', 'https://github.com/apache/skywalking.git']
['alibaba/Sentinel', 'https://github.com/alibaba/Sentinel.git']
['jenkinsci/jenkins', 'https://github.com/jenkinsci/jenkins.git']
['redisson/redisson', 'https://github.com/redisson/redisson.git']
['didi/DoraemonKit', 'https://github.com/didi/DoraemonKit.git']
['apache/flink', 'https://github.com/apache/flink.git']
['bazelbuild/bazel', 'https://github.com/bazelbuild/bazel.git']
['TeamNewPipe/NewPipe', 'https://github.com/TeamNewPipe/NewPipe.git']
['elunez/eladmin', 'https://github.com/elunez/eladmin.git']
['CarGuo/GSYVideoPlayer', 'https://github.com/CarGuo/GSYVideoPlayer.git']
['mybatis/mybatis-3', 'https://github.com/mybatis/mybatis-3.git']
['linlinjava/litemall', 'https://github.com/linlinjava/litemall.git']
['EnterpriseQualityCoding/FizzBuzzEnterpriseEdition', 'https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git']
['apache/rocketmq', 'https://github.com/apache/rocketmq.git']
['oracle/graal', 'https://github.com/oracle/graal.git']
['facebook/fresco', 'https://github.com/facebook/fresco.git']
['dianping/cat', 'https://github.com/dianping/cat.git']
['Tencent/tinker', 'https://github.com/Tencent/tinker.git']
['apache/shardingsphere', 'https://github.com/apache/shardingsphere.git']
['openzipkin/zipkin', 'https://github.com/openzipkin/zipkin.git']
['android10/Android-CleanArchitecture', 'https://github.com/android10/Android-CleanArchitecture.git']
['lottie-react-native/lottie-react-native', 'https://github.com/lottie-react-native/lottie-react-native.git']
['LMAX-Exchange/disruptor', 'https://github.com/LMAX-Exchange/disruptor.git']
['Anuken/Mindustry', 'https://github.com/Anuken/Mindustry.git']
['alibaba/ARouter', 'https://github.com/alibaba/ARouter.git']
['iBotPeaches/Apktool', 'https://github.com/iBotPeaches/Apktool.git']
['lgvalle/Material-Animations', 'https://github.com/lgvalle/Material-Animations.git']
['Tencent/QMUI_Android', 'https://github.com/Tencent/QMUI_Android.git']
['material-components/material-components-android', 'https://github.com/material-components/material-components-android.git']
['medcl/elasticsearch-analysis-ik', 'https://github.com/medcl/elasticsearch-analysis-ik.git']
['prestodb/presto', 'https://github.com/prestodb/presto.git']
['orhanobut/logger', 'https://github.com/orhanobut/logger.git']
['justauth/JustAuth', 'https://github.com/justauth/JustAuth.git']
['android-hacker/VirtualXposed', 'https://github.com/android-hacker/VirtualXposed.git']
['Tencent/APIJSON', 'https://github.com/Tencent/APIJSON.git']
['Curzibn/Luban', 'https://github.com/Curzibn/Luban.git']
['Konloch/bytecode-viewer', 'https://github.com/Konloch/bytecode-viewer.git']
['eclipse-vertx/vert.x', 'https://github.com/eclipse-vertx/vert.x.git']
['mockito/mockito', 'https://github.com/mockito/mockito.git']
['arduino/Arduino', 'https://github.com/arduino/Arduino.git']
['baomidou/mybatis-plus', 'https://github.com/baomidou/mybatis-plus.git']
['openjdk/jdk', 'https://github.com/openjdk/jdk.git']
['greenrobot/greenDAO', 'https://github.com/greenrobot/greenDAO.git']
['facebook/stetho', 'https://github.com/facebook/stetho.git']
['apache/hadoop', 'https://github.com/apache/hadoop.git']
['eclipse/deeplearning4j', 'https://github.com/eclipse/deeplearning4j.git']
['JessYanCoding/AndroidAutoSize', 'https://github.com/JessYanCoding/AndroidAutoSize.git']
['zhihu/Matisse', 'https://github.com/zhihu/Matisse.git']
['pinpoint-apm/pinpoint', 'https://github.com/pinpoint-apm/pinpoint.git']
['daimajia/AndroidViewAnimations', 'https://github.com/daimajia/AndroidViewAnimations.git']
['youth5201314/banner', 'https://github.com/youth5201314/banner.git']
